---------------------------------------------------------------------------------------------------
Date: 12/16/2025 -- 22:25:52 (uptime: 0d, 00h 00m 06s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 425742
decoder.bytes                                                | Total                     | 750298441
decoder.ipv4                                                 | Total                     | 412518
decoder.arp                                                  | Total                     | 13224
decoder.sll2                                                 | Total                     | 425742
decoder.tcp                                                  | Total                     | 410739
tcp.syn                                                      | Total                     | 12637
tcp.synack                                                   | Total                     | 12386
tcp.rst                                                      | Total                     | 911
decoder.udp                                                  | Total                     | 508
decoder.icmpv4                                               | Total                     | 484
decoder.avg_pkt_size                                         | Total                     | 1762
decoder.max_pkt_size                                         | Total                     | 64368
flow.total                                                   | Total                     | 12728
flow.tcp                                                     | Total                     | 12472
flow.udp                                                     | Total                     | 255
flow.icmpv4                                                  | Total                     | 1
flow.tcp_reuse                                               | Total                     | 115
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 90
decoder.event.ipv4.opt_pad_required                          | Total                     | 787
flow.wrk.flows_evicted_needs_work                            | Total                     | 11796
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 11796
flow.wrk.flows_evicted                                       | Total                     | 4244
flow.wrk.flows_injected                                      | Total                     | 7899
tcp.sessions                                                 | Total                     | 12262
tcp.ssn_from_cache                                           | Total                     | 3892
tcp.ssn_from_pool                                            | Total                     | 8370
tcp.invalid_checksum                                         | Total                     | 129346
detect.alert                                                 | Total                     | 131030
detect.alerts_suppressed                                     | Total                     | 32
app_layer.flow.ntp                                           | Total                     | 40
app_layer.tx.ntp                                             | Total                     | 40
app_layer.flow.mdns                                          | Total                     | 198
app_layer.tx.mdns                                            | Total                     | 396
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.flow.dns_udp                                       | Total                     | 15
app_layer.tx.dns_udp                                         | Total                     | 30
flow.end.state.new                                           | Total                     | 12569
flow.end.state.established                                   | Total                     | 56
flow.end.state.closed                                        | Total                     | 103
flow.end.tcp_state.syn_sent                                  | Total                     | 12159
flow.end.tcp_state.closed                                    | Total                     | 103
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 9
memcap.pressure_max                                          | Total                     | 9
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 585
flow.recycler.queue_max                                      | Total                     | 353
tcp.memuse                                                   | Total                     | 6225920
tcp.reassembly_memuse                                        | Total                     | 1146880
http.byterange.memuse                                        | Total                     | 208768
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 684288
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 668288
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 11588608
